Index,EGB0,Currency,EUR
Date,TRR % 1-week EUR U, ,
04/08/2017,-0.004,,
11/08/2017,-0.002,,
18/08/2017,-0.011,,
25/08/2017,-0.011,,
01/09/2017,-0.007,,
08/09/2017,-0.009,,
15/09/2017,-0.012,,
22/09/2017,-0.006,,
29/09/2017,-0.008,,
06/10/2017,-0.016,,
13/10/2017,-0.008,,
20/10/2017,-0.011,,
27/10/2017,-0.003,,
03/11/2017,-0.009,,
10/11/2017,-0.004,,
17/11/2017,-0.005,,
24/11/2017,-0.012,,
01/12/2017,-0.005,,
08/12/2017,-0.004,,
15/12/2017,-0.001,,
22/12/2017,-0.015,,
29/12/2017,-0.016,,
05/01/2018,-0.009,,
12/01/2018,-0.035,,
19/01/2018,-0.001,,
26/01/2018,-0.012,,
02/02/2018,-0.008,,
09/02/2018,-0.01,,
16/02/2018,-0.011,,
23/02/2018,-0.012,,
02/03/2018,-0.006,,
09/03/2018,-0.005,,
16/03/2018,-0.003,,
23/03/2018,-0.016,,
29/03/2018,-0.014,,
06/04/2018,-0.01,,
13/04/2018,-0.009,,
20/04/2018,-0.019,,
27/04/2018,-0.005,,
04/05/2018,-0.012,,
11/05/2018,-0.014,,
18/05/2018,-0.02,,
25/05/2018,-0.047,,
01/06/2018,-0.004,,
08/06/2018,0.005,,
15/06/2018,0.033,,
22/06/2018,-0.022,,
29/06/2018,-0.024,,
06/07/2018,-0.008,,
13/07/2018,0.002,,
20/07/2018,-0.011,,
27/07/2018,-0.013,,
03/08/2018,-0.031,,
10/08/2018,-0.014,,
17/08/2018,-0.014,,
24/08/2018,0.002,,
31/08/2018,-0.014,,
07/09/2018,0.02,,
14/09/2018,0.004,,
21/09/2018,-0.004,,
28/09/2018,-0.039,,
05/10/2018,0.007,,
12/10/2018,0.004,,
19/10/2018,-0.003,,
26/10/2018,0.013,,
02/11/2018,0.002,,
09/11/2018,-0.015,,
16/11/2018,-0.002,,
23/11/2018,0.002,,
30/11/2018,-0.009,,
07/12/2018,-0.005,,
14/12/2018,0.001,,
21/12/2018,-0.005,,
28/12/2018,-0.018,,
04/01/2019,-0.008,,
11/01/2019,0.009,,
18/01/2019,0.003,,
25/01/2019,-0.011,,
01/02/2019,-0.021,,
08/02/2019,-0.019,,
15/02/2019,0.002,,
22/02/2019,-0.005,,
01/03/2019,-0.007,,
08/03/2019,0.011,,
15/03/2019,0.001,,
22/03/2019,-0.007,,
